t;dT
0x120f1813f;0x11bc4
0x120f34e1e;0x11bd4
0x120f51ac7;0x11bbf
0x120f6e676;0x11b2e
0x120f8b0f7;0x118f2
0x120fa7b5f;0x11745
0x120fc4b50;0x11b45
0x120fe164b;0x11b0c
0x120ffe12d;0x11956
0x12101ac6f;0x11a48
0x12103818d;0x118bc
0x121054d7e;0x117e3
0x121071c5c;0x11b10
0x12108e606;0x1197f
0x1210ab2a1;0x1197a
0x1210c7f5a;0x1197f
0x1210e48c4;0x11648
0x1211012f6;0x11808
0x12111db07;0x1186e
0x12113a661;0x1160f
0x121157a5a;0x11cc2
0x1211742fd;0x116dc
0x12119150d;0x118ca
0x1211ade41;0x11af3
